FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,DATE_CREATED,DATE_EDITED
1518468,Damfino Lakes,Lake,WA,53,Whatcom,073,485718N,1214739W,48.9550807,-121.7942089,1360,4462,09/10/1979,06/26/2019
1518472,Damon Lake,Lake,WA,53,Grays Harbor,027,470805N,1240252W,47.1347172,-124.0477494,11,36,09/10/1979,05/20/2019
1518477,Dancing Lady Lake,Lake,WA,53,Yakima,077,464057N,1212126W,46.6825929,-121.3573486,1522,4993,09/10/1979,03/19/2019
1518485,Dark Meadow,Lake,WA,53,Skamania,059,461651N,1214543W,46.2809269,-121.7620347,1316,4318,09/10/1979,04/10/2019
1518491,Darling Lake,Lake,WA,53,Okanogan,047,482249N,1193930W,48.3802745,-119.6584661,767,2516,09/10/1979,05/08/2019
1518506,Davis Lake,Reservoir,WA,53,Pend Oreille,051,481327N,1171738W,48.2242498,-117.2938257,665,2182,09/10/1979,09/15/2019
1518507,Davis Lake,Lake,WA,53,Okanogan,047,483448N,1191924W,48.5798991,-119.3234629,1060,3478,09/10/1979,05/08/2019
1518508,Davis Lake,Lake,WA,53,Ferry,019,484418N,1181351W,48.738421,-118.2307251,1384,4541,09/10/1979,05/06/2019
1518513,Lake Dawn,Lake,WA,53,Clallam,009,480228N,1232551W,48.0411523,-123.4307428,551,1808,09/10/1979,05/21/2019
1518519,Day Lake,Lake,WA,53,Skagit,057,482405N,1215756W,48.4014344,-121.9654665,489,1604,09/10/1979,05/14/2019
1518524,De Hart Lake,Lake,WA,53,Stevens,065,483251N,1174749W,48.54761,-117.7970695,827,2713,09/10/1979,05/03/2019
1518534,Dead Horse Lake,Lake,WA,53,Okanogan,047,482254N,1201002W,48.3817462,-120.1671833,695,2280,09/10/1979,09/14/2019
1518535,Dead Lake,Lake,WA,53,Okanogan,047,485635N,1203951W,48.9431929,-120.6641014,1544,5066,09/10/1979,05/06/2019
1518538,Deadhead Lake,Lake,WA,53,Kittitas,037,473128N,1210953W,47.5245441,-121.1646042,1668,5472,09/10/1979,03/19/2019
1518553,Deadmans Lake,Lake,WA,53,Skamania,059,462237N,1220753W,46.3768501,-122.1314595,1324,4344,09/10/1979,04/02/2019
1518566,Deception Lake,Lake,WA,53,Pend Oreille,051,484340N,1172009W,48.7278031,-117.3358656,898,2946,09/10/1979,07/10/2019
1518567,Deception Lakes,Lake,WA,53,King,033,473805N,1210821W,47.6347664,-121.1391956,1541,5056,09/10/1979,05/21/2019
1518576,Dee Lake,Lake,WA,53,Skamania,059,460019N,1214948W,46.0053088,-121.8300743,1310,4298,09/10/1979,08/26/2019
1518595,Deep Lake,Lake,WA,53,Stevens,065,485133N,1173622W,48.8592502,-117.6062388,618,2028,09/10/1979,03/09/2021
1518596,Deep Lake,Lake,WA,53,Skamania,059,460155N,1214612W,46.0318194,-121.7700275,1551,5089,09/10/1979,03/14/2019
1518597,Deep Lake,Lake,WA,53,Skamania,059,462243N,1220655W,46.3785736,-122.1153367,1213,3980,09/10/1979,04/10/2019
1518598,Deep Lake,Lake,WA,53,King,033,471625N,1215623W,47.2736033,-121.9398552,236,774,09/10/1979,05/15/2019
1518599,Deep Lake,Lake,WA,53,Kittitas,037,473243N,1210830W,47.5453621,-121.1417275,1337,4386,09/10/1979,03/19/2019
1518630,Deer Lake,Lake,WA,53,Skamania,059,460127N,1214715W,46.0241748,-121.7874313,1466,4810,09/10/1979,04/01/2019
1518631,Deer Lake,Lake,WA,53,Skamania,059,462126N,1221040W,46.3572639,-122.1779075,1178,3865,09/10/1979,04/02/2019
1518632,Deer Lake,Lake,WA,53,Yakima,077,463904N,1212440W,46.6511267,-121.410988,1592,5223,09/10/1979,03/19/2019
1518633,Deer Lake,Lake,WA,53,King,033,473415N,1212402W,47.5708817,-121.4005697,1093,3586,09/10/1979,05/14/2019
1518634,Deer Lake,Lake,WA,53,Clallam,009,475536N,1234926W,47.9266522,-123.8237839,1075,3527,09/10/1979,04/09/2019
1518635,Deer Lake,Lake,WA,53,Stevens,065,480642N,1173512W,48.1117592,-117.5866332,756,2480,09/10/1979,05/03/2019
1518640,Deer Lakes,Lake,WA,53,Kittitas,037,473205N,1210829W,47.5346604,-121.1413473,1397,4583,09/10/1979,03/19/2019
1518665,Delanty Lake,Lake,WA,53,Jefferson,031,475826N,1225057W,47.9739099,-122.849186,155,509,09/10/1979,05/17/2019
1518669,Delta Lake,Lake,WA,53,King,033,473530N,1211836W,47.5917316,-121.3100149,986,3235,09/10/1979,05/21/2019
1518678,Denny Lake,Lake,WA,53,King,033,472521N,1212817W,47.4223951,-121.4713056,1336,4383,09/10/1979,05/14/2019
